Date,WeeklyFuelPrice
6-Apr-90,0.548
13-Apr-90,0.54
20-Apr-90,0.543
27-Apr-90,0.53
4-May-90,0.522
11-May-90,0.519
18-May-90,0.52
25-May-90,0.508
1-Jun-90,0.504
8-Jun-90,0.487
15-Jun-90,0.497
22-Jun-90,0.492
29-Jun-90,0.499
6-Jul-90,0.493
13-Jul-90,0.514
20-Jul-90,0.554
27-Jul-90,0.558
3-Aug-90,0.599
10-Aug-90,0.723
17-Aug-90,0.775
24-Aug-90,0.951
31-Aug-90,0.821
7-Sep-90,0.904
14-Sep-90,0.916
21-Sep-90,0.985
28-Sep-90,1.221
5-Oct-90,1.242
12-Oct-90,1.377
19-Oct-90,1.226
26-Oct-90,1.002
2-Nov-90,1.064
9-Nov-90,1.024
16-Nov-90,0.95
23-Nov-90,0.907
30-Nov-90,0.955
7-Dec-90,0.853
14-Dec-90,0.764
21-Dec-90,0.774
28-Dec-90,0.818
4-Jan-91,0.757
11-Jan-91,0.785
18-Jan-91,0.799
25-Jan-91,0.698
1-Feb-91,0.67
8-Feb-91,0.677
15-Feb-91,0.68
22-Feb-91,0.611
1-Mar-91,0.559
8-Mar-91,0.561
15-Mar-91,0.557
22-Mar-91,0.566
29-Mar-91,0.552
5-Apr-91,0.538
12-Apr-91,0.555
19-Apr-91,0.556
26-Apr-91,0.561
3-May-91,0.549
10-May-91,0.566
17-May-91,0.57
24-May-91,0.575
31-May-91,0.576
7-Jun-91,0.557
14-Jun-91,0.541
21-Jun-91,0.544
28-Jun-91,0.548
5-Jul-91,0.567
12-Jul-91,0.584
19-Jul-91,0.593
26-Jul-91,0.588
2-Aug-91,0.601
9-Aug-91,0.597
16-Aug-91,0.612
23-Aug-91,0.646
30-Aug-91,0.645
6-Sep-91,0.646
13-Sep-91,0.625
20-Sep-91,0.627
27-Sep-91,0.642
4-Oct-91,0.643
11-Oct-91,0.659
18-Oct-91,0.679
25-Oct-91,0.684
1-Nov-91,0.688
8-Nov-91,0.697
15-Nov-91,0.65
22-Nov-91,0.62
29-Nov-91,0.605
6-Dec-91,0.576
13-Dec-91,0.524
20-Dec-91,0.516
27-Dec-91,0.482
3-Jan-92,0.48
10-Jan-92,0.472
17-Jan-92,0.517
24-Jan-92,0.525
31-Jan-92,0.534
7-Feb-92,0.559
14-Feb-92,0.564
21-Feb-92,0.534
28-Feb-92,0.517
6-Mar-92,0.512
13-Mar-92,0.511
20-Mar-92,0.525
27-Mar-92,0.511
3-Apr-92,0.521
10-Apr-92,0.542
17-Apr-92,0.54
24-Apr-92,0.547
1-May-92,0.556
8-May-92,0.58
15-May-92,0.579
22-May-92,0.563
29-May-92,0.601
5-Jun-92,0.611
12-Jun-92,0.611
19-Jun-92,0.61
26-Jun-92,0.628
3-Jul-92,0.613
10-Jul-92,0.597
17-Jul-92,0.607
24-Jul-92,0.621
31-Jul-92,0.621
7-Aug-92,0.591
14-Aug-92,0.583
21-Aug-92,0.588
28-Aug-92,0.593
4-Sep-92,0.61
11-Sep-92,0.616
18-Sep-92,0.627
25-Sep-92,0.631
2-Oct-92,0.632
9-Oct-92,0.633
16-Oct-92,0.636
23-Oct-92,0.617
30-Oct-92,0.595
6-Nov-92,0.569
13-Nov-92,0.563
20-Nov-92,0.561
27-Nov-92,0.553
4-Dec-92,0.536
11-Dec-92,0.53
18-Dec-92,0.533
25-Dec-92,0.567
1-Jan-93,0.567
8-Jan-93,0.54
15-Jan-93,0.525
22-Jan-93,0.519
29-Jan-93,0.554
5-Feb-93,0.56
12-Feb-93,0.555
19-Feb-93,0.532
26-Feb-93,0.562
5-Mar-93,0.572
12-Mar-93,0.562
19-Mar-93,0.559
26-Mar-93,0.554
2-Apr-93,0.544
9-Apr-93,0.549
16-Apr-93,0.554
23-Apr-93,0.548
30-Apr-93,0.553
7-May-93,0.561
14-May-93,0.554
21-May-93,0.55
28-May-93,0.549
4-Jun-93,0.546
11-Jun-93,0.529
18-Jun-93,0.518
25-Jun-93,0.518
2-Jul-93,0.516
9-Jul-93,0.499
16-Jul-93,0.488
23-Jul-93,0.488
30-Jul-93,0.498
6-Aug-93,0.486
13-Aug-93,0.493
20-Aug-93,0.503
27-Aug-93,0.515
3-Sep-93,0.521
10-Sep-93,0.509
17-Sep-93,0.517
24-Sep-93,0.553
1-Oct-93,0.571
8-Oct-93,0.57
15-Oct-93,0.575
22-Oct-93,0.564
29-Oct-93,0.559
5-Nov-93,0.546
12-Nov-93,0.529
19-Nov-93,0.539
26-Nov-93,0.534
3-Dec-93,0.481
10-Dec-93,0.433
17-Dec-93,0.435
24-Dec-93,0.45
31-Dec-93,0.452
7-Jan-94,0.489
14-Jan-94,0.525
21-Jan-94,0.537
28-Jan-94,0.558
4-Feb-94,0.579
11-Feb-94,0.526
18-Feb-94,0.455
25-Feb-94,0.458
4-Mar-94,0.457
11-Mar-94,0.439
18-Mar-94,0.456
25-Mar-94,0.463
1-Apr-94,0.437
8-Apr-94,0.462
15-Apr-94,0.469
22-Apr-94,0.473
29-Apr-94,0.472
6-May-94,0.464
13-May-94,0.475
20-May-94,0.472
27-May-94,0.475
3-Jun-94,0.483
10-Jun-94,0.463
17-Jun-94,0.502
24-Jun-94,0.511
1-Jul-94,0.505
8-Jul-94,0.497
15-Jul-94,0.508
22-Jul-94,0.506
29-Jul-94,0.521
5-Aug-94,0.528
12-Aug-94,0.497
19-Aug-94,0.487
26-Aug-94,0.481
2-Sep-94,0.498
